precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,readme_check,magnitude
Maple Shade Twp,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,2773,BURLINGTON,34005,BURLINGTON,34005,DONALD W NORCROSS,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Palmyra Boro,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,1633,BURLINGTON,34005,BURLINGTON,34005,DONALD W NORCROSS,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Burlington Totals,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,4406,BURLINGTON,34005,BURLINGTON,34005,DONALD W NORCROSS,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Maple Shade Twp,US HOUSE,REPUBLICAN,REPUBLICAN,TOTAL,1890,BURLINGTON,34005,BURLINGTON,34005,CLAIRE GUSTAFSON,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Palmyra Boro,US HOUSE,REPUBLICAN,REPUBLICAN,TOTAL,835,BURLINGTON,34005,BURLINGTON,34005,CLAIRE GUSTAFSON,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Burlington Totals,US HOUSE,REPUBLICAN,REPUBLICAN,TOTAL,2725,BURLINGTON,34005,BURLINGTON,34005,CLAIRE GUSTAFSON,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Maple Shade Twp,US HOUSE,FOR THE PEOPLE,OTHER,TOTAL,44,BURLINGTON,34005,BURLINGTON,34005,PATRICIA KLINE,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Palmyra Boro,US HOUSE,FOR THE PEOPLE,OTHER,TOTAL,19,BURLINGTON,34005,BURLINGTON,34005,PATRICIA KLINE,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Burlington Totals,US HOUSE,FOR THE PEOPLE,OTHER,TOTAL,63,BURLINGTON,34005,BURLINGTON,34005,PATRICIA KLINE,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
Maple Shade Twp,US HOUSE,LIBERTARIAN PARTY,OTHER,TOTAL,24,BURLINGTON,34005,BURLINGTON,34005,ISAIAH FLETCHER,001,HOUSE,2022,GEN,NEW JERSEY,FALSE,FALSE,NJ,34,22,12,2022-11-08,TRUE,1
